"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"02.01.2017 08:15 - 02.01.2017 08:30","71261","68117"
"02.01.2017 08:30 - 02.01.2017 08:45","71787","74088"
"02.01.2017 08:45 - 02.01.2017 09:00","71868","74176"
"02.01.2017 09:00 - 02.01.2017 09:15","72593","74511"
"02.01.2017 09:15 - 02.01.2017 09:30","73058","75035"
"02.01.2017 09:30 - 02.01.2017 09:45","73273","75406"
"02.01.2017 09:45 - 02.01.2017 10:00","73755","75878"
"02.01.2017 10:00 - 02.01.2017 10:15","74276","76327"
"02.01.2017 10:15 - 02.01.2017 10:30","74387","76447"
"02.01.2017 10:30 - 02.01.2017 10:45","74723","76648"
"02.01.2017 10:45 - 02.01.2017 11:00","75136","76731"
"02.01.2017 11:00 - 02.01.2017 11:15","74056","76549"
"02.01.2017 11:15 - 02.01.2017 11:30","74063","76384"
"02.01.2017 11:30 - 02.01.2017 11:45","74316","76386"
"02.01.2017 11:45 - 02.01.2017 12:00","74240","75818"
"02.01.2017 12:00 - 02.01.2017 12:15","74540","75918"
"02.01.2017 12:15 - 02.01.2017 12:30","74012","75340"
"02.01.2017 12:30 - 02.01.2017 12:45","73510","74495"
"02.01.2017 12:45 - 02.01.2017 13:00","73244","73841"
"02.01.2017 13:00 - 02.01.2017 13:15","72882","73580"
"02.01.2017 13:15 - 02.01.2017 13:30","73007","73476"
"02.01.2017 13:30 - 02.01.2017 13:45","72822","73531"
"02.01.2017 13:45 - 02.01.2017 14:00","72639","73309"
"02.01.2017 14:00 - 02.01.2017 14:15","71731","73284"
"02.01.2017 14:15 - 02.01.2017 14:30","72273","72985"
"02.01.2017 14:30 - 02.01.2017 14:45","72497","72803"
"02.01.2017 14:45 - 02.01.2017 15:00","72210","72906"
"02.01.2017 15:00 - 02.01.2017 15:15","72187","73226"
"02.01.2017 15:15 - 02.01.2017 15:30","71520","73451"
"02.01.2017 15:30 - 02.01.2017 15:45","71130","74568"
"02.01.2017 15:45 - 02.01.2017 16:00","73491","75787"
"02.01.2017 16:00 - 02.01.2017 16:15","74109","76992"
"02.01.2017 16:15 - 02.01.2017 16:30","75363","77538"
"02.01.2017 16:30 - 02.01.2017 16:45","74862","77841"
"02.01.2017 16:45 - 02.01.2017 17:00","75380","77869"
"02.01.2017 17:00 - 02.01.2017 17:15","74807","77453"
"02.01.2017 17:15 - 02.01.2017 17:30","73994","77010"
"02.01.2017 17:30 - 02.01.2017 17:45","73845","76882"
"02.01.2017 17:45 - 02.01.2017 18:00","73148","77037"
"02.01.2017 18:00 - 02.01.2017 18:15","72318","76318"
"02.01.2017 18:15 - 02.01.2017 18:30","72547","75785"
"02.01.2017 18:30 - 02.01.2017 18:45","71149","75368"
"02.01.2017 18:45 - 02.01.2017 19:00","71304","74935"
"02.01.2017 19:00 - 02.01.2017 19:15","69876","72698"
"02.01.2017 19:15 - 02.01.2017 19:30","68680","71677"
"02.01.2017 19:30 - 02.01.2017 19:45","67296","70177"
"02.01.2017 19:45 - 02.01.2017 20:00","66598","69216"
"02.01.2017 20:00 - 02.01.2017 20:15","65875","68161"
"02.01.2017 20:15 - 02.01.2017 20:30","65429","67374"
"02.01.2017 20:30 - 02.01.2017 20:45","65466","66759"
"02.01.2017 20:45 - 02.01.2017 21:00","64246","66428"
"02.01.2017 21:00 - 02.01.2017 21:15","63626","67281"
"02.01.2017 21:15 - 02.01.2017 21:30","62358","66342"
"02.01.2017 21:30 - 02.01.2017 21:45","61225","65284"
"02.01.2017 21:45 - 02.01.2017 22:00","59235","64277"
"02.01.2017 22:00 - 02.01.2017 22:15","57216","62948"
"02.01.2017 22:15 - 02.01.2017 22:30","55987","62306"
"02.01.2017 22:30 - 02.01.2017 22:45","56009","61256"
"02.01.2017 22:45 - 02.01.2017 23:00","53118","60454"
"02.01.2017 23:00 - 02.01.2017 23:15","54932","59731"
"02.01.2017 23:15 - 02.01.2017 23:30","54477","58884"
"02.01.2017 23:30 - 02.01.2017 23:45","53891","58306"
"02.01.2017 23:45 - 03.01.2017 00:00","53318","57122"
"03.01.2017 00:00 - 03.01.2017 00:15","52612","56272"
"03.01.2017 00:15 - 03.01.2017 00:30","52210","56012"
"03.01.2017 00:30 - 03.01.2017 00:45","51797","55639"
"03.01.2017 00:45 - 03.01.2017 01:00","51387","55214"
"03.01.2017 01:00 - 03.01.2017 01:15","51290","54666"
"03.01.2017 01:15 - 03.01.2017 01:30","51174","54542"
"03.01.2017 01:30 - 03.01.2017 01:45","51135","54090"
"03.01.2017 01:45 - 03.01.2017 02:00","51175","53869"
"03.01.2017 02:00 - 03.01.2017 02:15","51246","54045"
"03.01.2017 02:15 - 03.01.2017 02:30","51270","53784"
"03.01.2017 02:30 - 03.01.2017 02:45","51131","54051"
"03.01.2017 02:45 - 03.01.2017 03:00","51135","54335"
"03.01.2017 03:00 - 03.01.2017 03:15","51808","54640"
"03.01.2017 03:15 - 03.01.2017 03:30","52311","54861"
"03.01.2017 03:30 - 03.01.2017 03:45","52574","55226"
"03.01.2017 03:45 - 03.01.2017 04:00","53190","55950"
"03.01.2017 04:00 - 03.01.2017 04:15","54363","56817"
"03.01.2017 04:15 - 03.01.2017 04:30","55144","57451"
"03.01.2017 04:30 - 03.01.2017 04:45","56023","58128"
"03.01.2017 04:45 - 03.01.2017 05:00","57268","59373"
"03.01.2017 05:00 - 03.01.2017 05:15","59446","61429"
"03.01.2017 05:15 - 03.01.2017 05:30","62031","63684"
"03.01.2017 05:30 - 03.01.2017 05:45","63535","64871"
"03.01.2017 05:45 - 03.01.2017 06:00","64712","66429"
"03.01.2017 06:00 - 03.01.2017 06:15","66832","68601"
"03.01.2017 06:15 - 03.01.2017 06:30","69275","70172"
"03.01.2017 06:30 - 03.01.2017 06:45","68557","72040"
"03.01.2017 06:45 - 03.01.2017 07:00","70023","73776"
"03.01.2017 07:00 - 03.01.2017 07:15","70625","75109"
"03.01.2017 07:15 - 03.01.2017 07:30","71498","75259"
"03.01.2017 07:30 - 03.01.2017 07:45","71460","75748"
"03.01.2017 07:45 - 03.01.2017 08:00","71388","75993"
"03.01.2017 08:00 - 03.01.2017 08:15","71328","76519"
"03.01.2017 08:15 - 03.01.2017 08:30","71760","77191"
"03.01.2017 08:30 - 03.01.2017 08:45","71667","77554"
"03.01.2017 08:45 - 03.01.2017 09:00","72072","77865"
"03.01.2017 09:00 - 03.01.2017 09:15","72279","78233"
"03.01.2017 09:15 - 03.01.2017 09:30","72755","78698"
