Date,YIELD_TO_WORST
15/06/1997,9.22
15/07/1997,8.66
15/08/1997,8.9
15/09/1997,8.65
15/10/1997,8.82
15/11/1997,8.78
15/12/1997,8.88
15/01/1998,8.55
15/02/1998,8.62
15/03/1998,8.57
15/04/1998,8.78
15/05/1998,8.92
15/06/1998,9.08
15/07/1998,9.06
15/08/1998,10.46
15/09/1998,10.45
15/10/1998,11.09
15/11/1998,10.33
15/12/1998,10.53
15/01/1999,10.24
15/02/1999,10.55
15/03/1999,10.48
15/04/1999,10.17
15/05/1999,10.67
15/06/1999,10.96
15/07/1999,10.93
15/08/1999,11.23
15/09/1999,11.53
15/10/1999,11.76
15/11/1999,11.66
15/12/1999,11.54
15/01/2000,11.92
15/02/2000,11.9
15/03/2000,12.49
15/04/2000,12.72
15/05/2000,12.98
15/06/2000,12.63
15/07/2000,12.67
15/08/2000,12.66
15/09/2000,12.86
15/10/2000,13.65
15/11/2000,14.58
15/12/2000,14.45
15/01/2001,12.51
15/02/2001,12.27
15/03/2001,12.54
15/04/2001,12.96
15/05/2001,12.16
15/06/2001,12.71
15/07/2001,12.4
15/08/2001,12.18
15/09/2001,13.77
15/10/2001,13.26
15/11/2001,12.83
15/12/2001,12.46
15/01/2002,12.1
15/02/2002,12.33
15/03/2002,11.79
15/04/2002,11.3
15/05/2002,11.55
15/06/2002,12.44
15/07/2002,13.54
15/08/2002,13.31
15/09/2002,13.6
15/10/2002,14.02
15/11/2002,12.57
15/12/2002,12.08
15/01/2003,11.47
15/02/2003,11.32
15/03/2003,10.64
15/04/2003,9.49
15/05/2003,9.42
15/06/2003,8.83
15/07/2003,9.14
15/08/2003,8.97
15/09/2003,8.43
15/10/2003,8.09
15/11/2003,7.89
15/12/2003,7.4
15/01/2004,7.12
15/02/2004,7.25
15/03/2004,7.21
15/04/2004,7.51
15/05/2004,8.13
15/06/2004,8
15/07/2004,7.85
15/08/2004,7.55
15/09/2004,7.36
15/10/2004,7.09
15/11/2004,6.95
15/12/2004,6.76
15/01/2005,6.99
15/02/2005,6.79
15/03/2005,7.72
15/04/2005,8.11
15/05/2005,7.89
15/06/2005,7.72
15/07/2005,7.51
15/08/2005,7.67
15/09/2005,7.93
15/10/2005,8.23
15/11/2005,8.3
15/12/2005,8.25
15/01/2006,8.08
15/02/2006,8.1
15/03/2006,8.13
15/04/2006,8.14
15/05/2006,8.3
15/06/2006,8.58
15/07/2006,8.51
15/08/2006,8.33
15/09/2006,8.17
15/10/2006,8.02
15/11/2006,7.83
15/12/2006,7.7
15/01/2007,7.61
15/02/2007,7.45
15/03/2007,7.59
15/04/2007,7.47
15/05/2007,7.48
15/06/2007,8.1
15/07/2007,9.08
15/08/2007,9.08
15/09/2007,8.64
15/10/2007,8.72
15/11/2007,9.48
15/12/2007,9.64
15/01/2008,10.04
15/02/2008,10.58
15/03/2008,10.86
15/04/2008,10.02
15/05/2008,10.06
15/06/2008,10.89
15/07/2008,11.43
15/08/2008,11.56
15/09/2008,13.91
15/10/2008,18.67
15/11/2008,21.83
15/12/2008,19.43
15/01/2009,17.87
15/02/2009,19.04
15/03/2009,18.12
15/04/2009,15.13
15/05/2009,13.71
15/06/2009,12.28
15/07/2009,11.52
15/08/2009,11.32
15/09/2009,10.31
15/10/2009,10.02
15/11/2009,9.77
15/12/2009,9.06
15/01/2010,8.96
15/02/2010,9.15
15/03/2010,8.47
15/04/2010,8.11
15/05/2010,9.28
15/06/2010,9.16
15/07/2010,8.34
15/08/2010,8.46
15/09/2010,7.8
15/10/2010,7.28
15/11/2010,7.9
15/12/2010,7.51
15/01/2011,7.02
15/02/2011,6.84
15/03/2011,7.02
15/04/2011,6.75
15/05/2011,6.82
15/06/2011,7.32
15/07/2011,7.15
15/08/2011,8.51
15/09/2011,9.51
15/10/2011,8.2
15/11/2011,8.87
15/12/2011,8.36
15/01/2012,7.52
15/02/2012,6.99
15/03/2012,7.23
15/04/2012,7.07
15/05/2012,7.88
15/06/2012,7.35
15/07/2012,6.89
15/08/2012,6.74
15/09/2012,6.51
15/10/2012,6.49
15/11/2012,6.45
15/12/2012,6.13
15/01/2013,5.87
15/02/2013,5.78
15/03/2013,5.67
15/04/2013,5.21
15/05/2013,5.71
15/06/2013,6.66
15/07/2013,6.11
15/08/2013,6.36
15/09/2013,6.23
15/10/2013,5.64
15/11/2013,5.6
15/12/2013,5.64
15/01/2014,5.64
15/02/2014,5.14
15/03/2014,5.23
15/04/2014,5.04
15/05/2014,4.99
15/06/2014,4.91
15/07/2014,5.7
15/08/2014,5.2
15/09/2014,6.13
15/10/2014,5.83
15/11/2014,6.12
15/12/2014,6.61
15/01/2015,6.46
15/02/2015,5.88
15/03/2015,6.18
15/04/2015,5.95
15/05/2015,5.92
15/06/2015,6.57
15/07/2015,6.87
15/08/2015,7.26
15/09/2015,8.04
15/10/2015,7.41
15/11/2015,8.02
15/12/2015,8.74
15/01/2016,9.17
15/02/2016,9.02
15/03/2016,8.18
15/04/2016,7.37
15/05/2016,7.31
15/06/2016,7.27
15/07/2016,6.71
15/08/2016,6.31
15/09/2016,6.17
15/10/2016,6.29
15/11/2016,6.57
15/12/2016,6.12
15/01/2017,5.85
15/02/2017,5.58
15/03/2017,5.84
15/04/2017,5.63
15/05/2017,5.48
15/06/2017,5.62
15/07/2017,5.41
15/08/2017,5.61
15/09/2017,5.45
15/10/2017,5.43
